Prompt,Category
Cleared monthly rent through UPI transfer.,Rent
Got eye checkup and glasses from Lenskart.,Healthcare
Recharged Jio mobile plan for the month.,Utilities
Ordered biryani from Paradise Biryani House.,Dining
Bought a Spotify Premium annual plan.,Entertainment
Rented a self-drive Zoomcar for a weekend trip.,Travel
Purchased a new smartphone during the Amazon Great Indian Sale.,Shopping
Paid security deposit for a new flat in Pune.,Rent
Took an auto-rickshaw to the office.,Travel
Paid for a Zee5 yearly subscription.,Subscriptions
Ordered a full South Indian thali from Swiggy.,Dining
Bought a Delhi Metro smart card recharge.,Travel
Got fresh paneer and vegetables from the local mandi.,Groceries
Bought a monthly metro pass for Chennai Metro.,Transportation
Hired an Ola cab for an outstation trip.,Travel
Had chai and samosas at a local tea stall.,Dining
Cleared my Airtel broadband bill.,Utilities
Renewed Cult.fit gym membership for six months.,Subscriptions
Bought an AC chair car ticket from IRCTC.,Travel
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Cleared monthly rent through UPI transfer.,Rent
Cleared municipal water tax online.,Utilities
Bought ethnic wear from Fabindia.,Shopping
Paid the DTH recharge for Tata Sky.,Utilities
Had a dosa and filter coffee at MTR Bangalore.,Dining
Renewed my home inverter battery.,Utilities
Renewed Cult.fit gym membership for six months.,Subscriptions
Ordered a smartwatch from Croma online.,Shopping
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Refueled my car at an Indian Oil petrol pump.,Transportation
Settled lease extension fees for my flat.,Rent
Paid rent for my co-living space at Zolo.,Rent
Had a dosa and filter coffee at MTR Bangalore.,Dining
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Watched a play at Prithvi Theatre.,Entertainment
Paid the DTH recharge for Tata Sky.,Utilities
Paid consultation fees at AIIMS Delhi.,Healthcare
Recharged my FASTag for highway travel.,Transportation
Paid for a Zee5 yearly subscription.,Subscriptions
Had a dosa and filter coffee at MTR Bangalore.,Dining
Bought ethnic wear from Fabindia.,Shopping
Paid for a train sleeper class ticket on IRCTC.,Travel
Ordered a pair of sneakers from Flipkart.,Shopping
Booked a Volvo bus to Bangalore via RedBus.,Travel
Renewed my Tata Sky DTH subscription.,Subscriptions
Got eye checkup and glasses from Lenskart.,Healthcare
Bought organic groceries from Nature’s Basket.,Groceries
Bought gold jewelry from Tanishq.,Shopping
Had chai and samosas at a local tea stall.,Dining
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Paid PG accommodation fees via NoBroker.,Rent
Bought a gaming mouse from Flipkart.,Entertainment
Booked a Volvo bus to Bangalore via RedBus.,Travel
Bought gold jewelry from Tanishq.,Shopping
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Bought a silk saree from Nalli Silks.,Shopping
Cleared monthly rent through UPI transfer.,Rent
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Paid security deposit for a new flat in Pune.,Rent
Got a designer lehenga from Manyavar.,Shopping
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Paid for a Zee5 yearly subscription.,Subscriptions
Reserved a flight ticket via MakeMyTrip.,Travel
Ordered a full South Indian thali from Swiggy.,Dining
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Bought gold jewelry from Tanishq.,Shopping
Paid for car parking at Phoenix Mall.,Transportation
Paid the BSNL landline bill.,Utilities
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Bought a gaming mouse from Flipkart.,Entertainment
Settled lease extension fees for my flat.,Rent
Tried out street food at Sarafa Bazaar in Indore.,Dining
Settled lease extension fees for my flat.,Rent
Renewed my YouTube Premium plan.,Subscriptions
Attended a music concert at NSCI Dome.,Entertainment
Renewed Cult.fit gym membership for six months.,Subscriptions
Bought a subscription to Economic Times online.,Subscriptions
Recharged my FASTag for highway travel.,Transportation
Renewed my home inverter battery.,Utilities
Paid my LPG gas bill for Indane.,Utilities
Tried out street food at Sarafa Bazaar in Indore.,Dining
Tried out street food at Sarafa Bazaar in Indore.,Dining
Purchased a Kindle book from Amazon.,Entertainment
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Settled the maintenance charges for my society.,Utilities
Settled rental agreement paperwork costs.,Rent
Had a dosa and filter coffee at MTR Bangalore.,Dining
Signed up for a Udemy course on Python.,Subscriptions
Had a dental cleaning session at Clove Dental.,Healthcare
Bought a monthly metro pass for Chennai Metro.,Transportation
Booked an Uber to the railway station.,Travel
Got a Kurti from Biba for an event.,Shopping
Ordered a smartwatch from Croma online.,Shopping
Booked a Volvo bus to Bangalore via RedBus.,Travel
Took an e-rickshaw ride in Delhi.,Transportation
Tried out street food at Sarafa Bazaar in Indore.,Dining
Paid for excess baggage at Mumbai Airport.,Travel
Renewed my home inverter battery.,Utilities
Booked a Volvo bus to Bangalore via RedBus.,Travel
Recharged my FASTag for highway travel.,Transportation
Bought a silk saree from Nalli Silks.,Shopping
Ordered a smartwatch from Croma online.,Shopping
Had chai and samosas at a local tea stall.,Dining
Recharged my FASTag for highway travel.,Transportation
Bought an AC chair car ticket from IRCTC.,Travel
Upgraded my Netflix plan to premium.,Subscriptions
Ordered a pair of sneakers from Flipkart.,Shopping
Bought an annual Amazon Prime membership.,Subscriptions
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Went to an amusement park in Essel World.,Entertainment
Bought a subscription to Economic Times online.,Subscriptions
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Ordered biryani from Paradise Biryani House.,Dining
Renewed my home inverter battery.,Utilities
Purchased health insurance from HDFC Ergo.,Healthcare
Cleared municipal water tax online.,Utilities
Bought ethnic wear from Fabindia.,Shopping
Renewed my Tata Sky DTH subscription.,Subscriptions
Had chai and samosas at a local tea stall.,Dining
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Settled the maintenance charges for my society.,Utilities
Bought gold jewelry from Tanishq.,Shopping
Upgraded my Netflix plan to premium.,Subscriptions
Bought a Delhi Metro smart card recharge.,Travel
Tried out street food at Sarafa Bazaar in Indore.,Dining
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Bought a monthly metro pass for Chennai Metro.,Transportation
Renewed my YouTube Premium plan.,Subscriptions
Settled rental agreement paperwork costs.,Rent
Stopped by a local kirana shop for daily essentials.,Groceries
Renewed my YouTube Premium plan.,Subscriptions
Ordered biryani from Paradise Biryani House.,Dining
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Paid PG accommodation fees via NoBroker.,Rent
Bought first-aid essentials from MedPlus.,Healthcare
Bought an AC chair car ticket from IRCTC.,Travel
Paid the DTH recharge for Tata Sky.,Utilities
Tried out street food at Sarafa Bazaar in Indore.,Dining
Reserved a flight ticket via MakeMyTrip.,Travel
Paid for excess baggage at Mumbai Airport.,Travel
Paid for car parking at Phoenix Mall.,Transportation
Took an auto-rickshaw to the office.,Travel
Bought medicines from Apollo Pharmacy.,Healthcare
Booked an auto ride via Rapido.,Transportation
Cleared monthly rent through UPI transfer.,Rent
Had a dosa and filter coffee at MTR Bangalore.,Dining
Attended a music concert at NSCI Dome.,Entertainment
Purchased a new smartphone during the Amazon Great Indian Sale.,Shopping
Settled rental agreement paperwork costs.,Rent
Went to an amusement park in Essel World.,Entertainment
Recharged Jio mobile plan for the month.,Utilities
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Ordered a pair of sneakers from Flipkart.,Shopping
Took an auto-rickshaw to the office.,Travel
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Booked an auto ride via Rapido.,Transportation
Paid for a train sleeper class ticket on IRCTC.,Travel
Made an early EMI payment for home loan.,Rent
Bought organic groceries from Nature’s Basket.,Groceries
Got fresh paneer and vegetables from the local mandi.,Groceries
Settled rental agreement paperwork costs.,Rent
Recharged my FASTag for highway travel.,Transportation
Cleared monthly rent through UPI transfer.,Rent
Paid consultation fees at AIIMS Delhi.,Healthcare
Renewed my Tata Sky DTH subscription.,Subscriptions
Settled rental agreement paperwork costs.,Rent
Paid for an annual membership of Times of India e-paper.,Subscriptions
Recharged Jio mobile plan for the month.,Utilities
Ordered a smartwatch from Croma online.,Shopping
Ordered chaat and golgappa from a famous local vendor.,Dining
Purchased health insurance from HDFC Ergo.,Healthcare
Had a masala dosa from Saravana Bhavan.,Dining
Paid for a Zee5 yearly subscription.,Subscriptions
Paid for an annual membership of Times of India e-paper.,Subscriptions
Paid for a trekking adventure in Himachal.,Entertainment
Renewed my Tata Sky DTH subscription.,Subscriptions
Bought an AC chair car ticket from IRCTC.,Travel
Had a masala dosa from Saravana Bhavan.,Dining
Paid PG accommodation fees via NoBroker.,Rent
Paid additional maintenance charges for my rented house.,Rent
Took an e-rickshaw ride in Delhi.,Transportation
Picked up sportswear from Decathlon.,Shopping
Purchased a fitness band from Cult.fit.,Healthcare
Bought first-aid essentials from MedPlus.,Healthcare
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Covered plumbing repair costs for a leakage issue.,Utilities
Got eye checkup and glasses from Lenskart.,Healthcare
Paid the DTH recharge for Tata Sky.,Utilities
Covered plumbing repair costs for a leakage issue.,Utilities
Picked up sportswear from Decathlon.,Shopping
Ordered a full South Indian thali from Swiggy.,Dining
Refilled CNG in my vehicle at an HP station.,Transportation
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Renewed my home inverter battery.,Utilities
Attended a stand-up comedy show in Mumbai.,Entertainment
Bought medicines from Apollo Pharmacy.,Healthcare
Took an auto-rickshaw to the office.,Travel
Ordered grocery essentials from Jiomart online.,Groceries
Booked an auto ride via Rapido.,Transportation
Picked up sportswear from Decathlon.,Shopping
Paid for excess baggage at Mumbai Airport.,Travel
Bought first-aid essentials from MedPlus.,Healthcare
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Booked an Uber to the railway station.,Travel
Had chai and samosas at a local tea stall.,Dining
Paid my LPG gas bill for Indane.,Utilities
Bought organic groceries from Nature’s Basket.,Groceries
Renewed my YouTube Premium plan.,Subscriptions
Bought a silk saree from Nalli Silks.,Shopping
Purchased a laptop from Vijay Sales.,Shopping
Transferred rent for my Bangalore apartment.,Rent
Recharged Jio mobile plan for the month.,Utilities
Bought gold jewelry from Tanishq.,Shopping
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Got a Kurti from Biba for an event.,Shopping
Bought an AC chair car ticket from IRCTC.,Travel
Bought a gaming mouse from Flipkart.,Entertainment
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Cleared monthly rent through UPI transfer.,Rent
Had a masala dosa from Saravana Bhavan.,Dining
Purchased health insurance from HDFC Ergo.,Healthcare
Paid for a trekking adventure in Himachal.,Entertainment
Paid for a train sleeper class ticket on IRCTC.,Travel
Went to an amusement park in Essel World.,Entertainment
Had chai and samosas at a local tea stall.,Dining
Paid for a trekking adventure in Himachal.,Entertainment
Bought a gaming mouse from Flipkart.,Entertainment
Bought organic groceries from Nature’s Basket.,Groceries
Cleared monthly rent through UPI transfer.,Rent
Reserved a flight ticket via MakeMyTrip.,Travel
Got a designer lehenga from Manyavar.,Shopping
Booked an auto ride via Rapido.,Transportation
Rented a self-drive Zoomcar for a weekend trip.,Travel
Renewed Cult.fit gym membership for six months.,Subscriptions
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Went for a fine dining experience at Taj Vivanta.,Dining
Renewed my Tata Sky DTH subscription.,Subscriptions
Paid for an annual membership of Times of India e-paper.,Subscriptions
Transferred rent for my Bangalore apartment.,Rent
Ordered a full South Indian thali from Swiggy.,Dining
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Settled lease extension fees for my flat.,Rent
Transferred rent for my Bangalore apartment.,Rent
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Paid rent for my co-living space at Zolo.,Rent
Took an e-rickshaw ride in Delhi.,Transportation
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Settled lease extension fees for my flat.,Rent
Paid the BSNL landline bill.,Utilities
Had a dental cleaning session at Clove Dental.,Healthcare
Watched a play at Prithvi Theatre.,Entertainment
Ordered a smartwatch from Croma online.,Shopping
Rented a self-drive Zoomcar for a weekend trip.,Travel
Stopped by a local kirana shop for daily essentials.,Groceries
Upgraded my Netflix plan to premium.,Subscriptions
Bought an annual Amazon Prime membership.,Subscriptions
Recharged my FASTag for highway travel.,Transportation
Took an auto-rickshaw to the office.,Travel
Transferred rent to the landlord via Google Pay.,Rent
Cleared my Airtel broadband bill.,Utilities
Hired an Ola cab for an outstation trip.,Travel
Signed up for a Udemy course on Python.,Subscriptions
Got fresh paneer and vegetables from the local mandi.,Groceries
Recharged Jio mobile plan for the month.,Utilities
Ordered a pair of sneakers from Flipkart.,Shopping
Bought gold jewelry from Tanishq.,Shopping
Attended a stand-up comedy show in Mumbai.,Entertainment
Had a dental cleaning session at Clove Dental.,Healthcare
Paid PG accommodation fees via NoBroker.,Rent
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Purchased a fitness band from Cult.fit.,Healthcare
Paid the BSNL landline bill.,Utilities
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Settled the maintenance charges for my society.,Utilities
Paid for excess baggage at Mumbai Airport.,Travel
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Paid consultation fees at AIIMS Delhi.,Healthcare
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Picked up sportswear from Decathlon.,Shopping
Had a dosa and filter coffee at MTR Bangalore.,Dining
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Booked an auto ride via Rapido.,Transportation
Watched a play at Prithvi Theatre.,Entertainment
Went to an amusement park in Essel World.,Entertainment
Booked an online doctor appointment via Practo.,Healthcare
Purchased health insurance from HDFC Ergo.,Healthcare
Upgraded my Netflix plan to premium.,Subscriptions
Got fresh paneer and vegetables from the local mandi.,Groceries
Ordered a pair of sneakers from Flipkart.,Shopping
Ordered a smartwatch from Croma online.,Shopping
Paid security deposit for a new flat in Pune.,Rent
Rented a self-drive Zoomcar for a weekend trip.,Travel
Paid the DTH recharge for Tata Sky.,Utilities
Paid the BSNL landline bill.,Utilities
Cleared municipal water tax online.,Utilities
Booked an Uber to the railway station.,Travel
Paid for a trekking adventure in Himachal.,Entertainment
Settled lease extension fees for my flat.,Rent
Paid additional maintenance charges for my rented house.,Rent
Hired an Ola cab for an outstation trip.,Travel
Transferred rent for my Bangalore apartment.,Rent
Paid for a trekking adventure in Himachal.,Entertainment
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Bought a subscription to Economic Times online.,Subscriptions
Paid for an annual membership of Times of India e-paper.,Subscriptions
Transferred rent to the landlord via Google Pay.,Rent
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Bought a Spotify Premium annual plan.,Entertainment
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Paid for a train sleeper class ticket on IRCTC.,Travel
Renewed Cult.fit gym membership for six months.,Subscriptions
Ordered biryani from Paradise Biryani House.,Dining
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Paid PG accommodation fees via NoBroker.,Rent
Renewed my home inverter battery.,Utilities
Bought organic groceries from Nature’s Basket.,Groceries
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Bought gold jewelry from Tanishq.,Shopping
Cleared my Airtel broadband bill.,Utilities
Bought a subscription to Economic Times online.,Subscriptions
Went to an amusement park in Essel World.,Entertainment
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Got a designer lehenga from Manyavar.,Shopping
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Had a dental cleaning session at Clove Dental.,Healthcare
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Paid security deposit for a new flat in Pune.,Rent
Booked a Volvo bus to Bangalore via RedBus.,Travel
Got fresh paneer and vegetables from the local mandi.,Groceries
Settled lease extension fees for my flat.,Rent
Stopped by a local kirana shop for daily essentials.,Groceries
Bought medicines from Apollo Pharmacy.,Healthcare
Paid my LPG gas bill for Indane.,Utilities
Ordered biryani from Paradise Biryani House.,Dining
Purchased a Kindle book from Amazon.,Entertainment
Bought a subscription to Economic Times online.,Subscriptions
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Took an auto-rickshaw to the office.,Travel
Ordered a pair of sneakers from Flipkart.,Shopping
Renewed my YouTube Premium plan.,Subscriptions
Got fresh paneer and vegetables from the local mandi.,Groceries
Ordered biryani from Paradise Biryani House.,Dining
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Purchased a Kindle book from Amazon.,Entertainment
Paid for car parking at Phoenix Mall.,Transportation
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Renewed my home inverter battery.,Utilities
Transferred rent to the landlord via Google Pay.,Rent
Purchased a Kindle book from Amazon.,Entertainment
Renewed my home inverter battery.,Utilities
Paid consultation fees at AIIMS Delhi.,Healthcare
Had a dosa and filter coffee at MTR Bangalore.,Dining
Refilled CNG in my vehicle at an HP station.,Transportation
Paid electricity bill via Paytm.,Utilities
Stopped by a local kirana shop for daily essentials.,Groceries
Bought first-aid essentials from MedPlus.,Healthcare
Reserved a flight ticket via MakeMyTrip.,Travel
Had a dental cleaning session at Clove Dental.,Healthcare
Purchased health insurance from HDFC Ergo.,Healthcare
Went to an amusement park in Essel World.,Entertainment
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Took an auto-rickshaw to the office.,Travel
Attended a music concert at NSCI Dome.,Entertainment
Hired an Ola cab for an outstation trip.,Travel
Ordered a smartwatch from Croma online.,Shopping
Got eye checkup and glasses from Lenskart.,Healthcare
Transferred rent to the landlord via Google Pay.,Rent
Purchased health insurance from HDFC Ergo.,Healthcare
Rented a self-drive Zoomcar for a weekend trip.,Travel
Paid consultation fees at AIIMS Delhi.,Healthcare
Picked up sportswear from Decathlon.,Shopping
Booked an online doctor appointment via Practo.,Healthcare
Bought gold jewelry from Tanishq.,Shopping
Ordered a pair of sneakers from Flipkart.,Shopping
Watched a play at Prithvi Theatre.,Entertainment
Paid PG accommodation fees via NoBroker.,Rent
Bought an annual Amazon Prime membership.,Subscriptions
Transferred rent for my Bangalore apartment.,Rent
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Stopped by a local kirana shop for daily essentials.,Groceries
Paid for a Zee5 yearly subscription.,Subscriptions
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Refueled my car at an Indian Oil petrol pump.,Transportation
Paid consultation fees at AIIMS Delhi.,Healthcare
Cleared monthly rent through UPI transfer.,Rent
Got a Kurti from Biba for an event.,Shopping
Refilled CNG in my vehicle at an HP station.,Transportation
Paid for car parking at Phoenix Mall.,Transportation
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Ordered chaat and golgappa from a famous local vendor.,Dining
Purchased health insurance from HDFC Ergo.,Healthcare
Paid PG accommodation fees via NoBroker.,Rent
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Bought medicines from Apollo Pharmacy.,Healthcare
Attended a music concert at NSCI Dome.,Entertainment
Picked up sportswear from Decathlon.,Shopping
Ordered chaat and golgappa from a famous local vendor.,Dining
Took an auto-rickshaw to the office.,Travel
Bought gold jewelry from Tanishq.,Shopping
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Bought a silk saree from Nalli Silks.,Shopping
Renewed my home inverter battery.,Utilities
Ordered a full South Indian thali from Swiggy.,Dining
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Paid security deposit for a new flat in Pune.,Rent
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Paid consultation fees at AIIMS Delhi.,Healthcare
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Watched a play at Prithvi Theatre.,Entertainment
Purchased a new smartphone during the Amazon Great Indian Sale.,Shopping
Had a masala dosa from Saravana Bhavan.,Dining
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Paid security deposit for a new flat in Pune.,Rent
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Bought ethnic wear from Fabindia.,Shopping
Paid for excess baggage at Mumbai Airport.,Travel
Booked an Uber to the railway station.,Travel
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Purchased a Kindle book from Amazon.,Entertainment
Paid additional maintenance charges for my rented house.,Rent
Renewed my Tata Sky DTH subscription.,Subscriptions
Booked a Volvo bus to Bangalore via RedBus.,Travel
Ordered a smartwatch from Croma online.,Shopping
Bought an AC chair car ticket from IRCTC.,Travel
Bought a subscription to Economic Times online.,Subscriptions
Cleared monthly rent through UPI transfer.,Rent
Purchased a fitness band from Cult.fit.,Healthcare
Watched a play at Prithvi Theatre.,Entertainment
Bought a Spotify Premium annual plan.,Entertainment
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Settled lease extension fees for my flat.,Rent
Paid for car parking at Phoenix Mall.,Transportation
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Ordered a full South Indian thali from Swiggy.,Dining
Paid electricity bill via Paytm.,Utilities
Settled lease extension fees for my flat.,Rent
Had a masala dosa from Saravana Bhavan.,Dining
Had chai and samosas at a local tea stall.,Dining
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Recharged Jio mobile plan for the month.,Utilities
Tried out street food at Sarafa Bazaar in Indore.,Dining
Bought organic groceries from Nature’s Basket.,Groceries
Cleared my Airtel broadband bill.,Utilities
Got eye checkup and glasses from Lenskart.,Healthcare
Bought a gaming mouse from Flipkart.,Entertainment
Paid consultation fees at AIIMS Delhi.,Healthcare
Paid consultation fees at AIIMS Delhi.,Healthcare
Paid for a train sleeper class ticket on IRCTC.,Travel
Ordered grocery essentials from Jiomart online.,Groceries
Transferred rent to the landlord via Google Pay.,Rent
Paid rent for my co-living space at Zolo.,Rent
Went to an amusement park in Essel World.,Entertainment
Paid for excess baggage at Mumbai Airport.,Travel
Bought ethnic wear from Fabindia.,Shopping
Had a masala dosa from Saravana Bhavan.,Dining
Paid for a Zee5 yearly subscription.,Subscriptions
Paid electricity bill via Paytm.,Utilities
Bought first-aid essentials from MedPlus.,Healthcare
Refueled my car at an Indian Oil petrol pump.,Transportation
Refilled CNG in my vehicle at an HP station.,Transportation
Bought a gaming mouse from Flipkart.,Entertainment
Had a dosa and filter coffee at MTR Bangalore.,Dining
Paid for a Zee5 yearly subscription.,Subscriptions
Cleared my Airtel broadband bill.,Utilities
Paid the BSNL landline bill.,Utilities
Cleared municipal water tax online.,Utilities
Made an early EMI payment for home loan.,Rent
Paid for car parking at Phoenix Mall.,Transportation
Paid PG accommodation fees via NoBroker.,Rent
Signed up for a Udemy course on Python.,Subscriptions
Booked an online doctor appointment via Practo.,Healthcare
Booked an auto ride via Rapido.,Transportation
Purchased a fitness band from Cult.fit.,Healthcare
Purchased a fitness band from Cult.fit.,Healthcare
Purchased health insurance from HDFC Ergo.,Healthcare
Renewed my home inverter battery.,Utilities
Purchased a laptop from Vijay Sales.,Shopping
Paid for a Zee5 yearly subscription.,Subscriptions
Paid for car parking at Phoenix Mall.,Transportation
Renewed Cult.fit gym membership for six months.,Subscriptions
Paid for a Zee5 yearly subscription.,Subscriptions
Paid additional maintenance charges for my rented house.,Rent
Booked an Uber to the railway station.,Travel
Had a masala dosa from Saravana Bhavan.,Dining
Paid additional maintenance charges for my rented house.,Rent
Bought a gaming mouse from Flipkart.,Entertainment
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Bought organic groceries from Nature’s Basket.,Groceries
Got a designer lehenga from Manyavar.,Shopping
Settled lease extension fees for my flat.,Rent
Took an auto-rickshaw to the office.,Travel
Transferred rent to the landlord via Google Pay.,Rent
Refilled CNG in my vehicle at an HP station.,Transportation
Paid security deposit for a new flat in Pune.,Rent
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Got eye checkup and glasses from Lenskart.,Healthcare
Settled rental agreement paperwork costs.,Rent
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Bought gold jewelry from Tanishq.,Shopping
Paid for excess baggage at Mumbai Airport.,Travel
Bought a silk saree from Nalli Silks.,Shopping
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Bought medicines from Apollo Pharmacy.,Healthcare
Paid for car parking at Phoenix Mall.,Transportation
Booked an Uber to the railway station.,Travel
Reserved a flight ticket via MakeMyTrip.,Travel
Tried out street food at Sarafa Bazaar in Indore.,Dining
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Cleared monthly rent through UPI transfer.,Rent
Signed up for a Udemy course on Python.,Subscriptions
Paid additional maintenance charges for my rented house.,Rent
Settled rental agreement paperwork costs.,Rent
Ordered a full South Indian thali from Swiggy.,Dining
Bought ethnic wear from Fabindia.,Shopping
Bought a monthly metro pass for Chennai Metro.,Transportation
Paid security deposit for a new flat in Pune.,Rent
Settled lease extension fees for my flat.,Rent
Settled the maintenance charges for my society.,Utilities
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Paid for car parking at Phoenix Mall.,Transportation
Bought first-aid essentials from MedPlus.,Healthcare
Watched a play at Prithvi Theatre.,Entertainment
Refueled my car at an Indian Oil petrol pump.,Transportation
Paid for excess baggage at Mumbai Airport.,Travel
Ordered a full South Indian thali from Swiggy.,Dining
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Recharged Jio mobile plan for the month.,Utilities
Covered plumbing repair costs for a leakage issue.,Utilities
Paid PG accommodation fees via NoBroker.,Rent
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Booked an Uber to the railway station.,Travel
Had chai and samosas at a local tea stall.,Dining
Bought a gaming mouse from Flipkart.,Entertainment
Recharged my FASTag for highway travel.,Transportation
Transferred rent to the landlord via Google Pay.,Rent
Watched a play at Prithvi Theatre.,Entertainment
Refilled CNG in my vehicle at an HP station.,Transportation
Paid PG accommodation fees via NoBroker.,Rent
Paid additional maintenance charges for my rented house.,Rent
Got a Kurti from Biba for an event.,Shopping
Refueled my car at an Indian Oil petrol pump.,Transportation
Renewed my home inverter battery.,Utilities
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Bought an annual Amazon Prime membership.,Subscriptions
Ordered grocery essentials from Jiomart online.,Groceries
Ordered a smartwatch from Croma online.,Shopping
Had chai and samosas at a local tea stall.,Dining
Paid rent for my co-living space at Zolo.,Rent
Recharged my FASTag for highway travel.,Transportation
Settled rental agreement paperwork costs.,Rent
Booked an online doctor appointment via Practo.,Healthcare
Renewed my home inverter battery.,Utilities
Bought ethnic wear from Fabindia.,Shopping
Tried out street food at Sarafa Bazaar in Indore.,Dining
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Bought a silk saree from Nalli Silks.,Shopping
Paid for a trekking adventure in Himachal.,Entertainment
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Got eye checkup and glasses from Lenskart.,Healthcare
Watched a play at Prithvi Theatre.,Entertainment
Bought a gaming mouse from Flipkart.,Entertainment
Paid for a train sleeper class ticket on IRCTC.,Travel
Paid the BSNL landline bill.,Utilities
Paid for a train sleeper class ticket on IRCTC.,Travel
Bought a gaming mouse from Flipkart.,Entertainment
Watched a play at Prithvi Theatre.,Entertainment
Got eye checkup and glasses from Lenskart.,Healthcare
Cleared monthly rent through UPI transfer.,Rent
Bought a monthly metro pass for Chennai Metro.,Transportation
